SiteNumber,Type,LocationID,Region,DistrictOffice,State,StateName,County,CountyState,City,FacilityName,Ownership,Use,ARPLatitudeS,Latitude,ARPLongitudeS,Longitude,Elevation,ChartName,ActiviationDate,CustomsAirportOfEntry,CustomsLandingRights,MilitaryJointUse,MilitaryLandingRights
24308.36*A,AIRPORT,0TA8,ASW,TEX,TX,TEXAS,MASON,TX,MASON,B FLYING RANCH,PR,PR,110415,30.67083333,357595,-99.33194444,1400,SAN ANTONIO,11/1/2015,,,,
24308.02*A,AIRPORT,5TX1,ASW,TEX,TX,TEXAS,MASON,TX,MASON,BAR TRIANGLE,PR,PR,110855.26,30.79312778,357179.71,-99.21658611,1684,SAN ANTONIO,10/1/2015,,,,
24308.03*A,AIRPORT,5XA6,ASW,TEX,TX,TEXAS,MENARD,TX,MASON,COMANCHE RIDGE RANCH,PR,PR,110776.34,30.77120556,358256.75,-99.51576389,1888,SAN ANTONIO,11/1/2010,,,,
24308.8*A,AIRPORT,8TX6,ASW,NONE,TX,TEXAS,MASON,TX,MASON,HARKEY RANCH,PR,PR,111385.41,30.94039167,357083.69,-99.18991389,1674,SAN ANTONIO,10/1/2015,,,,
24308.*A,AIRPORT,T92,ASW,TEX,TX,TEXAS,MASON,TX,MASON,MASON COUNTY,PU,PU,110635.8949,30.73219303,357062.4215,-99.18400597,1514,SAN ANTONIO,2/1/1945,N,N,N,
24308.01*A,AIRPORT,XS08,ASW,TEX,TX,TEXAS,MASON,TX,MASON,POLK RANCH,PR,PR,111156.625,30.87684028,357118.193,-99.19949806,1840,SAN ANTONIO,10/1/1974,,,,
24308.19*A,AIRPORT,6TX1,ASW,TEX,TX,TEXAS,MASON,TX,MASON,SNOWDEN FIELD,PR,PR,110623.8,30.72883333,357624.65,-99.34018056,1730,SAN ANTONIO,4/1/2015,,,,
24313.19*A,AIRPORT,8TE0,ASW,TEX,TX,TEXAS,ANDERSON,TX,MATADOR,TEE PEE CREEK,PR,PR,122273,33.96472222,362839.25,-100.7886806,2380,DALLAS-FT WORTH,8/1/2014,,,,
24315.11*H,HELIPORT,02TA,ASW,TEX,TX,TEXAS,MATAGORDA,TX,MATAGORDA,MATAGORDA SHORE FACILITY,PR,PR,103396.95,28.721375,345145.861,-95.87385028,5,HOUSTON,8/1/1981,,,,
24321.8*A,AIRPORT,34TE,ASW,TEX,TX,TEXAS,ELLIS,TX,MAYPEARL,BEE CREEK,PR,PR,116035.53,32.23209167,349231.004,-97.00861222,760,DALLAS-FT WORTH,3/1/1970,,,,
24321.82*A,AIRPORT,TA26,ASW,TEX,TX,TEXAS,ELLIS,TX,MAYPEARL,COYOTE CROSSING,PR,PR,116266.9,32.29636111,349404.5,-97.05680556,580,DALLAS-FT WORTH,6/1/1997,,,,
24321.81*A,AIRPORT,19XS,ASW,TEX,TX,TEXAS,ELLIS,TX,MAYPEARL,DRAGGINTAIL ACRES,PR,PR,116269.9,32.29719444,349512.81,-97.08689167,585,DALLAS-FT WORTH,6/1/1997,,,,
24259.85*A,AIRPORT,18XS,ASW,TEX,TX,TEXAS,DICKENS,TX,MC ADOO,GARDNER FARM,PR,PR,121680.295,33.80008194,363721.516,-101.0337544,3000,DALLAS-FT WORTH,12/1/1977,,,,
24260.*A,AIRPORT,MFE,ASW,TEX,TX,TEXAS,HIDALGO,TX,MC ALLEN,MC ALLEN MILLER INTL,PU,PU,94233,26.17583333,353659,-98.23861111,107,BROWNSVILLE,1/1/1940,Y,N,N,Y
24263.*A,AIRPORT,E48,ASW,TEX,TX,TEXAS,UPTON,TX,MC CAMEY,UPTON COUNTY,PU,PU,112050.534,31.12514833,368011.494,-102.225415,2433,SAN ANTONIO,4/1/1941,N,N,N,N
24263.7*A,AIRPORT,19TA,ASW,TEX,TX,TEXAS,ROCKWALL,TX,MC CLENDON-CHISHOLM,LAGRONE RANCH,PR,PR,118160.454,32.82234833,347100.945,-96.41692917,567,DALLAS-FT WORTH,3/1/1982,,,,
